User,Password,Date,Income,Category,Expense
Ayon,4321,14-01-22,40000,Food,123.0
Ayon,4321,13-01-22,40000,Food,321.0
Ayon,4321,14-01-22,40000,Food,100.0
Ayon,4321,13-01-22,40000,Food,500.0
Ayon,4321,14-01-22,40000,Entertainment,90.0
Ayon,4321,13-01-22,40000,Entertainment,1000.0
Ayon,4321,14-01-22,40000,Clothing,50.0
Ayon,4321,13-01-22,40000,Clothing,800.0
Ayon,4321,14-01-22,40000,Clothing,1111.0
Ayon,4321,14-01-22,40000,Clothing,20000.0
Ayon,4321,12-01-22,40000,Food,50.0
Ayon,4321,13-01-22,40000,Food,50.0
Ayon,4321,13-01-22,40000,Food,1000.0
Ayon,4321,13-01-22,40000,Clothing,2000.0
Ayon,4321,23-12-21,40000,Food,50.0
Ayon,4321,12-01-22,40000,Clothing,75.0
Ayon,4321,12-01-22,40000,Clothing,100.0
Ayon,4321,12-01-22,40000,Food,1000.0
